year,age_group,population,total_population,population_share
2006,Berufsschulpflichtige (15 bis 17 Jahre),29876.583333333332,1310208.5833333333,0.022802921392350822
2006,18 bis 64 Jahre,892812.3333333333,1310208.5833333333,0.6814276327376118
2006,Rentner*innen (65 Jahre und älter),229531.66666666666,1310208.5833333333,0.17518711874311615
2007,noch nicht Schulpflichtige (0 bis 5 Jahre),71112.66666666667,1339368.5,0.05309417584978792
2007,Schulpflichtige (6 bis 14 Jahre),89401,1339368.5,0.06674862071192506
2007,Berufsschulpflichtige (15 bis 17 Jahre),29900.75,1339368.5,0.022324513380746223
2007,18 bis 64 Jahre,913223.8333333334,1339368.5,0.6818316492685421
2007,Rentner*innen (65 Jahre und älter),235730.25,1339368.5,0.1760010407889987
2008,noch nicht Schulpflichtige (0 bis 5 Jahre),73088.16666666667,1358336,0.05380713363016711
2008,Schulpflichtige (6 bis 14 Jahre),90093.5,1358336,0.06632637285620052
2008,Berufsschulpflichtige (15 bis 17 Jahre),29468.666666666668,1358336,0.021694681335594924
2008,18 bis 64 Jahre,925017.5833333334,1358336,0.6809932029581292
2008,Rentner*innen (65 Jahre und älter),240668.08333333334,1358336,0.1771786092199083
2009,noch nicht Schulpflichtige (0 bis 5 Jahre),74178.58333333333,1359550.9166666667,0.054561092507814005
2009,Schulpflichtige (6 bis 14 Jahre),90373.08333333333,1359550.9166666667,0.06647274642343602
2009,Berufsschulpflichtige (15 bis 17 Jahre),28863.416666666668,1359550.9166666667,0.021230110849716245
2009,18 bis 64 Jahre,922308.5833333334,1359550.9166666667,0.6783920867006881
2009,Rentner*innen (65 Jahre und älter),243827.25,1359550.9166666667,0.1793439635183456
2010,noch nicht Schulpflichtige (0 bis 5 Jahre),75641.41666666667,1371516.6666666667,0.05515165692481559
2010,Schulpflichtige (6 bis 14 Jahre),91839.75,1371516.6666666667,0.06696218298477355
2010,Berufsschulpflichtige (15 bis 17 Jahre),28807.333333333332,1371516.6666666667,0.02100399800707246
2010,18 bis 64 Jahre,928606,1371516.6666666667,0.6770650496409084
2010,Rentner*innen (65 Jahre und älter),246622.16666666666,1371516.6666666667,0.1798171124424299
2011,noch nicht Schulpflichtige (0 bis 5 Jahre),77314.33333333333,1396811.75,0.05535057485973563
2011,Schulpflichtige (6 bis 14 Jahre),93781.16666666667,1396811.75,0.06713944571748245
2011,Berufsschulpflichtige (15 bis 17 Jahre),29403.333333333332,1396811.75,0.02105031929559107
2011,18 bis 64 Jahre,947699.3333333333,1396811.75,0.6784731967878516
2011,Rentner*innen (65 Jahre und älter),248613.58333333334,1396811.75,0.1779864633393393
2012,noch nicht Schulpflichtige (0 bis 5 Jahre),79099.58333333333,1426362.25,0.05545546605242345
2012,Schulpflichtige (6 bis 14 Jahre),95231.5,1426362.25,0.06676529752522545
