MONATSZAHL,year_2000,year_2024,absolute_change,relative_change_percent
EU-Staatsangehörigkeiten,88904.5,205515.75,116611.25,131.1646204635311
Nicht-EU-Staatsangehörigkeiten,190531.25,279470.4166666667,88939.16666666669,46.67956918703188
