year,population_share,population_share_percent
2000,0.1587429172723426,15.87429172723426
2001,0.15982793469783302,15.982793469783301
2002,0.16177843898497976,16.177843898497976
2003,0.16480130581724728,16.48013058172473
2004,0.16930468651431382,16.930468651431383
2005,0.17345132973509975,17.345132973509976
2006,0.17518711874311615,17.518711874311617
2007,0.1760010407889987,17.600104078899868
2008,0.1771786092199083,17.71786092199083
2009,0.1793439635183456,17.93439635183456
2010,0.1798171124424299,17.98171124424299
2011,0.1779864633393393,17.798646333933927
2012,0.1774241314458044,17.74241314458044
2013,0.17701232541444445,17.701232541444444
2014,0.17651242815341972,17.651242815341973
2015,0.17550517829296422,17.55051782929642
2016,0.17393168664630246,17.393168664630245
2017,0.17354969919875407,17.35496991987541
2018,0.17331349269873658,17.33134926987366
2019,0.1721699888146015,17.21699888146015
2020,0.1720416698954194,17.204166989541942
2021,0.1717024675656461,17.170246756564612
2022,0.17041641973801577,17.04164197380158
2023,0.1698445441013236,16.98445441013236
2024,0.1697878263154566,16.97878263154566
