age_group,2000,2024,absolute_change,relative_change
Schulpflichtige (6 bis 14 Jahre),84870.33333333333,119601.25,34730.91666666667,40.92232857182134
Berufsschulpflichtige (15 bis 17 Jahre),27045.416666666668,38038.083333333336,10992.666666666668,40.64521098769046
Rentner*innen (65 Jahre und älter),196769.33333333334,270945.3333333333,74175.99999999997,37.69693109359858
noch nicht Schulpflichtige (0 bis 5 Jahre),65097,89063,23966,36.8158286864218
18 bis 64 Jahre,865765.0833333334,1078140.0833333335,212375.00000000012,24.530326307723403
