year,age_group,population
2021,noch nicht Schulpflichtige (0 bis 5 Jahre),91882.16666666667
2021,Schulpflichtige (6 bis 14 Jahre),113332.41666666667
2021,Berufsschulpflichtige (15 bis 17 Jahre),34744.333333333336
2021,18 bis 64 Jahre,1053943.9166666667
2021,Rentner*innen (65 Jahre und älter),268220.4166666667
2022,noch nicht Schulpflichtige (0 bis 5 Jahre),92129.66666666667
2022,Schulpflichtige (6 bis 14 Jahre),116849.66666666667
2022,Berufsschulpflichtige (15 bis 17 Jahre),36373.416666666664
2022,18 bis 64 Jahre,1064544.5833333333
2022,Rentner*innen (65 Jahre und älter),269084.4166666667
2023,noch nicht Schulpflichtige (0 bis 5 Jahre),90748.41666666667
2023,Schulpflichtige (6 bis 14 Jahre),118403.16666666667
2023,Berufsschulpflichtige (15 bis 17 Jahre),37389.083333333336
2023,18 bis 64 Jahre,1069250.75
2023,Rentner*innen (65 Jahre und älter),269202.5833333333
2024,noch nicht Schulpflichtige (0 bis 5 Jahre),89063
2024,Schulpflichtige (6 bis 14 Jahre),119601.25
2024,Berufsschulpflichtige (15 bis 17 Jahre),38038.083333333336
2024,18 bis 64 Jahre,1078140.0833333335
2024,Rentner*innen (65 Jahre und älter),270945.3333333333
