household_size_label,percentage_2012,percentage_2024,percentage_point_change
Four persons,7.1293640064511266,7.706055825439517,0.5766918189883903
Two persons,25.379886146066077,24.920598516912342,-0.4592876291537351
Five or more persons,2.996115767273453,2.789302865403193,-0.20681290187026002
Three persons,10.2390523341847,10.31304222931102,0.07398989512631893
One person,54.25558174602464,54.27100056293392,0.01541881690928193
