MONATSZAHL,year_2000,year_2024,absolute_change,relative_change_percent
Wanderungssaldo,833.1111111111111,634,-199.1111111111111,-23.899706588423577
Weggezogene,4420.555555555556,5209.5,788.9444444444443,17.847178584893804
Zugezogene,5253.666666666666,5843.5,589.8333333333339,11.227079500031737
